feedline_width_fw_mm,patch_length_pl_mm,patch_width_pw_mm,resonant_frequency_ghz,minimum_s11_db,bandwidth_ghz,z_real,z_imaginary
0.444,2.49,2.99,38.812,-21.397,1.361999,55.690076,1.4942439
0.444,2.49,3.03,38.755,-23.759,1.371002,58.004882,1.26234
0.444,2.49,3.07,38.698,-26.607,1.371002,60.1347,0.97282702
0.444,2.49,3.11,38.647,-31.352,1.365001,62.525497,0.56269039
0.444,2.49,3.15,38.593,-41.104,1.359001,64.80017,0.15458376
0.444,2.49,3.19,38.545,-38.407,1.347,67.506083,-0.32848176
0.444,2.49,3.23,38.494,-30.389,1.328999,69.961853,-0.82686242
0.444,2.49,3.27,38.428,-25.382,1.305001,73.243685,-1.6420316
0.444,2.49,3.31,38.386,-22.902,1.280998,75.867439,-2.1227255
0.444,2.5,2.95,38.74,-19.062,1.341004,52.80996,1.6279702
0.444,2.5,2.99,38.683,-20.778,1.359001,54.973789,1.4134405
0.444,2.5,3.03,38.626,-22.943,1.368,57.253,1.2240791
0.444,2.5,3.07,38.569,-25.475,1.368,59.347057,0.97321112
0.444,2.5,3.11,38.518,-29.457,1.371002,61.703906,0.61519938
0.444,2.5,3.15,38.464,-36.183,1.365002,63.941855,0.25577454
0.444,2.5,3.19,38.416,-45.649,1.353001,66.609946,-0.16020559
0.444,2.5,3.23,38.365,-32.647,1.341004,69.02608,-0.59783744
0.444,2.5,3.27,38.302,-26.606,1.314,72.298458,-1.1222909
0.444,2.5,3.31,38.257,-23.814,1.293004,74.847206,-1.7293747
0.444,2.51,2.95,38.611,-18.603,1.335003,52.143326,1.4325164
0.444,2.51,2.99,38.554,-20.212,1.353,54.27398,1.2515118
0.444,2.51,3.03,38.497,-22.211,1.365,56.51664,1.099688
0.444,2.51,3.07,38.44,-24.493,1.368001,58.575572,0.88432507
0.444,2.51,3.11,38.389,-27.927,1.370998,60.896854,0.57294992
0.444,2.51,3.15,38.338,-33.095,1.368,63.118479,0.44648826
0.444,2.51,3.19,38.29,-55.933,1.362,65.749723,0.095616928
0.444,2.51,3.23,38.239,-35.643,1.343998,68.132329,-0.28324951
0.444,2.51,3.27,38.173,-28,1.323002,71.320887,-0.92363397
0.444,2.51,3.31,38.131,-24.813,1.305,73.871734,-1.2551754
0.444,2.52,2.95,38.482,-18.174,1.326,51.495162,1.168002
0.444,2.52,2.99,38.425,-19.691,1.347,53.593532,1.0173245
0.444,2.52,3.03,38.368,-21.547,1.362,55.797765,0.89878613
0.444,2.52,3.07,38.311,-23.625,1.370998,57.823746,0.7142183
0.444,2.52,3.11,38.263,-26.651,1.374001,60.12772,0.62723672
0.444,2.52,3.15,38.209,-30.87,1.368001,62.289843,0.35726134
0.444,2.52,3.19,38.161,-41.855,1.365001,64.882174,0.061166204
0.444,2.52,3.23,38.113,-40.13,1.353001,67.246542,-0.072819194
0.444,2.52,3.27,38.047,-29.63,1.331997,70.388958,-0.6341838
0.444,2.52,3.31,38.005,-25.921,1.314003,72.901112,-0.89987714
0.444,2.53,2.95,38.353,-17.776,1.319999,50.873169,0.86705889
0.444,2.53,2.99,38.296,-19.21,1.340999,52.940404,0.74353803
0.444,2.53,3.03,38.239,-20.947,1.359001,55.110668,0.65587156
0.444,2.53,3.07,38.185,-22.854,1.368,57.112765,0.67587968
0.444,2.53,3.11,38.134,-25.564,1.370998,59.367916,0.44891974
0.444,2.53,3.15,38.083,-29.136,1.371002,61.50716,0.39988276
0.444,2.53,3.19,38.035,-36.799,1.368,64.064516,0.15853351
0.444,2.53,3.23,37.984,-49.418,1.359001,66.367119,-0.12150104
0.444,2.53,3.27,37.921,-31.582,1.340999,69.480353,-0.41511878
0.444,2.53,3.31,37.879,-27.156,1.322998,71.95556,-0.61956248
0.444,2.54,2.95,38.224,-17.402,1.311,50.273424,0.49637169
0.444,2.54,2.99,38.167,-18.763,1.338002,52.31032,0.39741647
0.444,2.54,3.03,38.113,-20.395,1.355999,54.452931,0.50946158
0.444,2.54,3.07,38.056,-22.16,1.365002,56.412057,0.3786492
0.444,2.54,3.11,38.008,-24.615,1.374001,58.641785,0.36725261
0.444,2.54,3.15,37.957,-27.717,1.371003,60.742755,0.35197824
0.444,2.54,3.19,37.909,-33.676,1.370999,63.265907,0.16142401
0.444,2.54,3.23,37.861,-50.087,1.362,65.542585,0.11929781
0.444,2.54,3.27,37.798,-34.043,1.347,68.60446,-0.10434444
0.444,2.54,3.31,37.753,-28.572,1.332,71.022681,-0.44884381
0.467,2.45,2.95,39.454,-20.665,1.233002,53.686198,2.842227
0.467,2.45,2.99,39.394,-22.852,1.299,55.898497,2.3169824
0.467,2.45,3.03,39.334,-25.807,1.362,58.214748,1.778483
0.467,2.45,3.07,39.268,-30.089,1.365002,60.467063,1.0306884
0.467,2.45,3.11,39.22,-38.953,1.359001,62.856384,0.40649317
0.467,2.45,3.15,39.157,-41.939,1.343998,65.189501,-0.3812538
0.467,2.45,3.19,39.112,-30.811,1.328999,67.845993,-1.2044814
0.467,2.45,3.23,39.052,-26.433,1.307999,70.274536,-2.1327895
0.467,2.45,3.27,39.004,-22.902,1.278,73.451154,-3.4811918
0.467,2.45,3.31,38.962,-21.455,1.253998,75.306962,-4.0642551
0.467,2.46,2.95,39.322,-20.039,1.349999,52.906812,2.7770013
0.467,2.46,2.99,39.262,-22.041,1.361999,55.085016,2.2994977
0.467,2.46,3.03,39.202,-24.674,1.370998,57.367464,1.8132598
0.467,2.46,3.07,39.139,-28.275,1.368,59.632927,1.2954305
0.467,2.46,3.11,39.088,-34.568,1.361999,61.940498,0.55930388
0.467,2.46,3.15,39.028,-65.359,1.350002,64.294052,0.017546066
0.467,2.46,3.19,38.983,-33.481,1.338001,66.920421,-0.71879823
0.467,2.46,3.23,38.923,-27.974,1.316997,69.321953,-1.5694479
0.467,2.46,3.27,38.875,-23.911,1.290001,72.479507,-2.7980404
